Name,Title,Undergraduate College,Degree Year,Major,Stream,Terminal College,Terminal Degree Year,Terminal Major,Terminal Stream,Location,Current Job Title,Current Company,Join Date,Experience,First Listed Job Title,First Listed Company,First Company Join Date,First Company Experience
Shannon Yan,MBA Candidate at Yale School of Management,Washington University in St. Louis,2010  2014,Bachelor,Economics Finance; Minor: Art History and Archeology,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Aug 2019  Present,9 mos,N/A,N/A,N/A,N/A
Anna Troein,MBA Candidate at Yale School of Management,TASIS England,1996  2009,High School Diploma,N/A,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Aug 2019  Present,9 mos,Art of Europe Department Intern,Museum of Fine Arts Boston,Jun 2013  Aug 2013,3 mos
Marc Potin,MBA Candidate at Yale University,Lyce Chateaubriand,N/A,N/A,Classe Prparatoire aux Grandes Ecoles,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,Greater New York City Area,Investment Banking Summer Associate,Global Capital Finance,May 2019  Aug 2019,4 mos,Graduate Consultant,French Ministry of Energy and Sustainable Development,Oct 2009  Jun 2010,9 mos
Vibhav Agarwal,MBA candidate at Yale School of Management,Indian Institute of Technology Kanpur,2008  2012,Bachelor of Technology (B.Tech.),Bioengineering and Biomedical Engineering,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New York New York,Summer Associate,Deloitte Consulting,May 2019  Present,1 yr,Research Assistant,Clean Air Carolina,May 2013  Jul 2013,3 mos
Jesse Lazarus,Harvard Yale JD-MBA,Middlebury Chinese Summer Language School,2010  2010,N/A,Chinese,Harvard Law School,2019  2022,Doctor of Law - JD,N/A,Cambridge Massachusetts,Board Fellow,Yale-China Association,Oct 2017  May 2019,1 yr 8 mos,Assistant Manager China Investment Sector Specialist Research,CBRE,May 2015  Aug 2016,1 yr 4 mos
Lina Kacyem CPCU,MBA Candidate at Yale - School Of Management,Penn State University,2005  2009,Bachelors Degree,Marketing,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,Smithtown New York,Venture Fellow,Blue Ivy Ventures,Jul 2019  Present,10 mos,Marketing Intern,The Hartford,2008,less than a year
Sarina X.,Senior Interviewer at Yale University,Manhattan School of Music,2007  2016,Pre-College,Classical Piano Violin,Yale University,2016  2020,Bachelors Degree,Statistics & Data Science and Political Science,New Haven Connecticut,Senior Interviewer,Yale University,Sep 2019  Present,8 mos,Marketing Coordinator,Cora Women,Apr 2015  Aug 2015,5 mos
Maggie Shun,MBA Candidate at Yale School of Management,NYU Stern School of Business,2011  2015,Bachelors Degree,Business Administration,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,M&E and Business Analytics Intern,Sanergy
        Internship,Apr 2020  Present,1 mo,Microfinance Business Development Intern,Atikus,Jun 2013  May 2014,1 yr
Lauren Harper,MBA Candidate at Yale School of Management,Southern Methodist University - Cox School of Business,2008  2012,Bachelor of Business Administration (BBA),Finance with a specialization in Alternative Assets,Yale School of Management,2018  2020,Master of Business Administration - MBA,Concentration in Management Science,Los Angeles California,Finance Product Summer Associate,AgriDigital,Jun 2019  Aug 2019,3 mos,Intern,EnCap Investments,Jun 2011  Aug 2011,3 mos
Jon Wong,MBA Candidate at the Yale School of Management,St. George's School,2002  2007,N/A,N/A,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New Haven Connecticut,Summer Investment Professional (Private Equity Partners),BlackRock,Jul 2019  Aug 2019,2 mos,Analyst Transaction Advisory Services,EY,Sep 2011  Jul 2013,1 yr 11 mos
Rehan Kukar,MBA Candidate at Yale SOM,Bombay Scottish School Mahim,1996  2008,ICSE,N/A,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Jul 2018  Present,1 yr 10 mos,Intern,CNBC TV18,Jun 2010  Jul 2010,2 mos
